amoblado,amount_max_bs,amount_max_usd,bathroom,baulera,bedroom,dimension,elevator,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,longitud,pool,price,status,year_built
0,40002059.0,5831204.0,4.0,0,4.0,307,0,1075,1181.09,7374,983,6744,1,468599,1,1,-16.540758,-68.063416,0,170000,2,
0,40002059.0,5831204.0,4.0,0,3.0,300,0,1499,1653.28,10280,1370,9401,3,472704,1,1,-16.514236,-68.058945,0,237000,1,
0,40002059.0,5831204.0,4.0,0,3.0,340,0,2296,2883.24,15751,2100,14404,2,479822,1,1,-16.542582,-68.06079100000001,0,415000,2,1996.0
0,40002059.0,5831204.0,8.0,0,6.0,677,0,4421,5546.58,30325,4043,27733,5,492366,1,1,-16.520359,-68.08635699999999,0,799000,2,
0,40002059.0,5831204.0,2.0,0,2.0,349,0,1075,1185.9,7374,983,6744,0,495505,1,1,-16.524441,-68.110016,0,170000,2,
0,40002059.0,5831204.0,5.0,0,3.0,415,0,1909,2406.67,13094,1746,11975,2,497214,1,1,-16.520739000000003,-68.06369000000001,0,345000,2,
0,40002059.0,5831204.0,6.0,0,4.0,280,0,1486,1631.35,10193,1359,9322,2,494871,1,1,-16.514395,-68.082565,0,235000,2,
0,40002059.0,5831204.0,4.0,0,3.0,350,0,3596,4512.24,24670,3289,22561,4,494864,1,1,-16.543179000000002,-68.07083100000001,0,650000,2,
0,40002059.0,5831204.0,4.0,0,5.0,536,0,3292,4188.91,22583,3010,20652,4,513716,1,1,-16.548656,-68.086311,0,595000,2,1985.0
0,40002059.0,5831204.0,4.0,0,3.0,304,0,2766,3490.76,18977,2530,17355,0,514544,1,1,-16.528906,-68.08470200000001,0,500000,2,
0,40002059.0,5831204.0,6.0,0,4.0,320,0,1936,2431.65,13284,1771,12148,6,464386,1,1,-16.664749,-68.015587,0,350000,2,2006.0
0,40002059.0,5831204.0,7.0,0,4.0,419,0,3043,4534.31,20875,2783,19090,4,505812,1,1,-16.516232000000002,-68.090988,0,550000,2,2010.0
