address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
Zona Sur Alto Obrajes sector A calle Francisco Molina,0,40002059,5831204,ENABLED,5,0,4,UC-519018, no social con 20% de aporte propio. ,31/01/2019,446,0,Inmediata,1909,2408.63,13094,1746,11975,3,519018,1,1,-16.520546,La Paz,-68.103096,$us,Alto Obrajes,0,345000,La Paz,2,Casa,Venta,,
FCV28246 – COMPRA TU CASA EN UMAMANTA,0,40002059,5831204,ENABLED,4,0,4,UC-519592, no social con 20% de aporte propio. ,06/04/2019,350,0,Inmediata,2102,2618.61,14422,1923,13189,2,519592,1,1,-16.614521,La Paz,-68.067787,$us,Río Abajo,0,380000,La Paz,2,Casa,Venta,,
Alto sopocachi,0,40002059,5831204,ENABLED,1,0,3,UC-532065, no social con 20% de aporte propio. ,20/03/2019,200,0,Inmediata,1265,,8675,1156,7934,0,532065,1,1,-16.51502,La Paz,-68.131523,$us,Sopocachi,0,200000,La Paz,2,Casa,Venta,,1998
Urb La escondida. La florida.,0,40002059,5831204,ENABLED,3,0,3,UC-532604, no social con 20% de aporte propio. ,07/03/2019,407,0,Inmediata,1743,,11955,1594,10933,2,532604,1,1,-16.55435,La Paz,-68.081291,$us,La Florida,0,315000,La Paz,1,Casa,Venta,,2016
FCV29708 – COMPRA TU CASA EN ACHUMANI,0,40002059,5831204,ENABLED,7,0,5,UC-533921, no social con 20% de aporte propio. ,06/04/2019,311,0,Inmediata,1837,,12601,1680,11523,3,533921,1,1,-16.518064,La Paz,-68.060143,$us,Achumani,0,332000,La Paz,2,Casa,Venta,,
"Achumani, cerca del colegio Alemán",0,40002059,5831204,ENABLED,5,0,3,UC-532994, no social con 20% de aporte propio. ,08/03/2019,250,0,Inmediata,1549,,10627,1417,9719,2,532994,1,1,-16.526333,La Paz,-68.06279,$us,Achumani,0,280000,La Paz,1,Casa,Venta,,2018
Achumani,0,40002059,5831204,ENABLED,6,0,4,UC-533209, no social con 20% de aporte propio. ,02/04/2019,385,0,Inmediata,1638,,11234,1498,10274,3,533209,1,1,-16.516356,La Paz,-68.061913,$us,Achumani,0,296000,La Paz,2,Casa,Venta,,2007
La Florida ,0,40002059,5831204,ENABLED,5,0,4,UC-519044, no social con 20% de aporte propio. ,15/03/2019,400,0,Inmediata,3541,4428.35,24290,3238,22214,3,519044,1,1,-16.548178,La Paz,-68.087639,$us,La Florida,0,640000,La Paz,2,Casa,Venta,,2005
Urbanización Los Rosales calle 4,0,40002059,5831204,ENABLED,4,0,4,UC-521615, no social con 20% de aporte propio. ,05/02/2019,500,0,Inmediata,2490,3113.69,17079,2277,15619,5,521615,1,1,-16.513569,La Paz,-68.052162,$us,Achumani,0,450000,La Paz,2,Casa,Venta,,2013
Bajo Irpavi calle 11 ,0,40002059,5831204,ENABLED,5,0,4,UC-533576, no social con 20% de aporte propio. ,21/03/2019,430,0,Inmediata,2600,,17838,2378,16313,3,533576,1,1,-16.519688,La Paz,-68.087944,$us,Irpavi,0,470000,La Paz,2,Casa,Venta,,2003
LA FLorida,0,40002059,5831204,ENABLED,5,0,3,UC-521102, no social con 20% de aporte propio. ,04/02/2019,300,0,Inmediata,2434,3044.49,16700,2226,15272,2,521102,1,1,-16.54711,La Paz,-68.084724,$us,La Florida,0,440000,La Paz,2,Casa,Venta,,2010
"Código 12307, ACHUMANI, CASA EN VENTA, LA PAZ, BOLIVIA
",0,40002059,5831204,ENABLED,5,0,3,UC-521228, no social con 20% de aporte propio. ,05/02/2019,290,0,Inmediata,1577,1972.00,10817,1442,9892,3,521228,1,1,-16.515877,La Paz,-68.057846,$us,Achumani,0,285000,La Paz,2,Casa,Venta,,
ALTO SEGUENCOMA CALLE 1,0,40002059,5831204,ENABLED,6,0,10,UC-534265, no social con 20% de aporte propio. ,12/03/2019,434,0,Inmediata,1265,,8675,1156,7934,5,534265,1,1,-16.535917,La Paz,-68.104675,$us,Seguencoma,0,200000,La Paz,2,Casa,Venta,,
