amoblado,bathroom,baulera,bedroom,dimension_built,dimension_ground,garage,latitud,longitud,price,status,year_built,riesgo__alto,riesgo__bajo,riesgo__moderado,riesgo__muy bajo,neighborhood_encoded
0,3.0,0,4.0,304,214,1,-16.563168,-68.104889,201000.0,1,2019.0,1,0,0,0,21
0,4.0,0,4.0,216,198,2,-16.562946,-68.104889,219000.0,1,2019.0,1,0,0,0,21
0,4.0,0,4.0,225,207,2,-16.562936999999998,-68.104958,228000.0,1,2019.0,1,0,0,0,21
0,4.0,0,4.0,216,198,2,-16.562834,-68.10494200000001,219000.0,1,2019.0,1,0,0,0,21
0,5.0,0,3.0,334,406,2,-16.549454,-68.090477,450000.0,2,,0,0,1,0,17
0,7.0,0,5.0,643,800,8,-16.54608,-68.07753000000001,850000.0,2,,0,1,0,0,22
0,4.0,0,3.0,320,385,2,-16.519215,-68.062187,270000.0,2,2012.0,1,0,0,0,5
0,6.0,0,4.0,390,300,2,-16.514648,-68.060257,350000.0,2,2006.0,1,0,0,0,5
0,1.0,0,3.0,200,225,2,-16.544134,-68.07867399999999,325000.0,2,,0,1,0,0,22
0,8.0,0,10.0,500,300,0,-16.505697,-68.12710600000001,760000.0,2,,0,0,0,1,26
0,3.0,0,3.0,300,279,3,-16.512541,-68.06163000000001,240000.0,2,,1,0,0,0,5
0,5.0,0,5.0,391,216,2,-16.54143,-68.057358,220000.0,2,,0,0,1,0,2
0,5.0,0,10.0,1000,678,4,-16.538715,-68.096313,480000.0,1,1973.0,0,1,0,0,19
0,6.0,0,4.0,313,345,2,-16.530222,-68.05684699999999,195000.0,1,2019.0,1,0,0,0,5
0,6.0,0,4.0,590,450,2,-16.512695,-68.06139399999999,400000.0,1,2017.0,1,0,0,0,5
0,4.0,0,5.0,250,300,3,-16.514275,-68.051361,169000.0,1,2019.0,1,0,0,0,5
0,3.0,0,3.0,180,380,5,-16.56741,-68.08976700000001,295000.0,2,,1,0,0,0,30
0,3.0,0,4.0,350,280,3,-16.531578,-68.06333199999999,110000.0,1,2019.0,1,0,0,0,5
0,5.0,0,4.0,374,400,2,-16.520982999999998,-68.084923,315000.0,2,2009.0,0,0,1,0,4
0,2.0,0,4.0,238,242,3,-16.525211,-68.107231,210000.0,2,1984.0,0,1,0,0,18
0,4.0,0,4.0,435,685,2,-16.53327,-68.09073599999999,570000.0,2,2007.0,1,0,0,0,31
0,2.0,0,3.0,171,400,2,-16.518978,-68.064316,285000.0,2,1998.0,1,0,0,0,5
0,4.0,0,4.0,292,320,3,-16.547642,-68.078094,260000.0,2,,0,1,0,0,16
0,5.0,0,8.0,1000,475,0,-16.48605,-68.137466,700000.0,2,1968.0,0,1,0,0,27
0,4.0,0,5.0,415,220,3,-16.522291,-68.057396,380000.0,2,2004.0,1,0,0,0,5
0,6.0,0,6.0,354,386,3,-16.533255,-68.080299,350000.0,2,,0,1,0,0,1
0,5.0,0,4.0,460,600,6,-16.523577,-68.05259699999999,320000.0,2,2012.0,1,0,0,0,5
0,7.0,0,4.0,400,800,2,-16.540594,-68.066994,580000.0,2,1998.0,0,0,1,0,2
