amoblado,bathroom,baulera,bedroom,dimension_built,dimension_ground,elevator,garage,latitud,longitud,price,status,year_built,riesgo__alto,riesgo__bajo,riesgo__moderado,riesgo__muy bajo,neighborhood_encoded
0,3.0,0,2.0,145,0,0,1,-16.548433,-68.06064599999999,143000.0,1,,0,1,0,0,6
0,4.0,0,3.0,176,0,0,1,-16.524995999999998,-68.11032900000001,180000.0,2,,0,1,0,0,7
0,4.0,0,3.0,139,0,0,1,-16.528801,-68.103081,160000.0,2,2014.0,0,1,0,0,7
0,3.0,0,2.0,97,0,0,1,-16.517364999999998,-68.060516,114500.0,1,2014.0,1,0,0,0,1
0,4.0,0,3.0,310,0,0,2,-16.548054,-68.06081400000001,310000.0,1,,0,1,0,0,6
0,2.0,0,2.0,89,0,0,1,-16.525345,-68.109543,105000.0,1,2015.0,0,1,0,0,7
0,5.0,0,3.0,165,0,0,1,-16.539244,-68.083237,169000.0,2,,0,1,0,0,4
0,4.0,0,3.0,132,0,0,1,-16.521437,-68.06373599999999,110000.0,1,,1,0,0,0,1
0,3.0,0,3.0,112,0,0,1,-16.520739000000006,-68.064339,95000.0,2,2015.0,1,0,0,0,1
0,6.0,0,3.0,265,0,0,2,-16.512096,-68.12133,260000.0,1,2003.0,0,0,0,1,5
0,5.0,0,3.0,220,0,0,2,-16.55151,-68.089577,519980.0,2,2016.0,0,0,1,0,14
0,4.0,0,3.0,120,0,0,1,-16.544624,-68.070885,135000.0,1,2019.0,0,0,1,0,9
0,1.0,0,1.0,62,0,0,1,-16.541307,-68.073952,74000.0,1,2018.0,0,1,0,0,4
0,3.0,0,2.0,86,0,0,1,-16.509114999999998,-68.13018000000001,111000.0,1,,0,0,1,0,13
0,4.0,0,3.0,174,0,0,1,-16.540649,-68.06749,135000.0,2,,0,0,1,0,10
0,2.0,0,2.0,100,0,0,1,-16.521749,-68.062454,135000.0,2,,1,0,0,0,1
0,4.0,0,3.0,151,0,0,1,-16.539017,-68.084183,180000.0,2,,0,1,0,0,4
0,2.0,0,2.0,83,0,0,1,-16.51734,-68.086365,82000.0,2,,0,0,1,0,8
0,5.0,0,4.0,310,0,0,1,-16.543035999999994,-68.089508,398000.0,1,,0,1,0,0,4
0,5.0,0,4.0,324,0,0,2,-16.525759,-68.106155,320000.0,2,2018.0,0,1,0,0,7
0,2.0,0,2.0,130,0,0,1,-16.518698,-68.086014,106000.0,1,,0,0,1,0,8
0,4.0,0,3.0,178,0,0,1,-16.525017000000002,-68.062065,192000.0,1,,1,0,0,0,1
0,4.0,0,3.0,120,0,0,1,-16.542938,-68.07294499999999,135000.0,1,,0,0,1,0,9
0,4.0,0,3.0,165,0,0,1,-16.539270000000002,-68.082062,169000.0,2,2009.0,0,1,0,0,4
0,3.0,0,3.0,169,0,0,1,-16.547623,-68.090111,240000.0,2,2014.0,0,0,1,0,14
0,3.0,0,3.0,134,0,0,2,-16.545471,-68.063713,145000.0,2,2016.0,0,0,1,0,10
0,3.0,0,2.0,99,0,0,1,-16.517104999999994,-68.061432,119000.0,2,2015.0,1,0,0,0,1
0,2.0,0,3.0,115,0,0,0,-16.509584,-68.124123,125000.0,2,,0,0,0,1,5
0,4.0,0,3.0,165,0,0,1,-16.539661,-68.081436,175000.0,2,,0,1,0,0,4
0,4.0,0,3.0,200,0,0,0,-16.510332000000002,-68.127289,180000.0,1,1970.0,0,0,1,0,13
0,3.0,0,3.0,110,0,0,1,-16.508557999999994,-68.128922,160000.0,2,1993.0,0,0,1,0,13
0,4.0,0,3.0,208,0,0,2,-16.547512,-68.052734,195000.0,2,,1,0,0,0,11
0,2.0,1,4.0,163,0,0,1,-16.529066,-68.085014,159000.0,2,,0,0,1,0,8
0,4.0,0,3.0,132,0,0,1,-16.51255,-68.086685,129000.0,2,,0,0,1,0,8
0,3.0,0,3.0,132,132,0,1,-16.542698,-68.065483,115000.0,1,,0,0,1,0,10
0,5.0,0,4.0,240,0,0,2,-16.528597,-68.07171600000001,265000.0,2,,1,0,0,0,1
0,2.0,0,3.0,120,0,0,0,-16.526285,-68.123772,104000.0,1,2018.0,1,0,0,0,15
