address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension_built,dimension_ground,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_neighborhood,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
FCV15067 – COMPRA TU CASA EN CALACOTO,0,40002059,5831204,ENABLED,8,0,12,UC-465772, no social con 20% de aporte propio. ,24/04/2019,0,910,0,Inmediata,6545,8218.96,44899,5986,41061,8,465772,32,1,1,-16.541281,La Paz,-68.087914,$us,Calacoto,0,1183000,La Paz,2,Casa,Venta,,
FCV14781 – COMPRA TU CASA EN OBRAJES,0,40002059,5831204,ENABLED,4,0,4,UC-436364, no social con 20% de aporte propio. ,24/04/2019,943,0,0,Inmediata,4205,5241.51,28845,3845,26379,1,436364,42,1,1,-16.525251,La Paz,-68.110901,$us,Obrajes,0,760000,La Paz,2,Casa,Venta,,
Irvapi inicios,0,40002059,5831204,ENABLED,6,0,7,UC-439025, no social con 20% de aporte propio. ,02/09/2018,340,603,0,Inmediata,2755,3434.57,18901,2520,17285,4,439025,37,1,1,-16.527731,La Paz,-68.086525,$us,Irpavi,0,498000,La Paz,2,Casa,Venta,,
Obrajes,0,,,ENABLED,5,0,6,UC-546812,,13/04/2019,450,480,0,Inmediata,0,,0,0,0,3,546812,42,1,2,-16.528088,La Paz,-68.104065,$us,Obrajes,0,2400,La Paz,2,Casa,Alquiler,16800.00 $us,
Alto irpavi,0,,,ENABLED,3,0,3,UC-549607,,26/04/2019,350,400,0,Inmediata,0,,0,0,0,3,549607,180,1,2,-16.519079,La Paz,-68.077835,Bs,Alto Irpavi,0,4500,La Paz,2,Casa,Alquiler,5000.00 Bs,
Achumani,0,,,ENABLED,9,0,5,UC-518336,,30/01/2019,740,631,0,Inmediata,0,,0,0,0,2,518336,29,1,2,-16.5341,La Paz,-68.076439,$us,Achumani,0,2600,La Paz,2,Casa,Alquiler,18200.00 $us,
CALACOTO,0,,,SOLD,3,0,2,UC-538992,,24/03/2019,200,250,0,Inmediata,0,,0,0,0,2,538992,32,1,2,-16.542912,La Paz,-68.083153,$us,Calacoto,0,1300,La Paz,2,Casa,Alquiler,9000.00 $us,2010
"FCA6365 – CASA EN ALQUILER, ARANJUEZ",0,,,ENABLED,5,0,4,UC-220550,,24/04/2019,650,500,0,Inmediata,0,22.11,0,0,0,5,220550,151,1,2,-16.56184,La Paz,-68.092636,$us,Aranjuez,0,3000,La Paz,2,Casa,Alquiler,,
Casa en alquiler Alto Irpavi ,0,,,ENABLED,3,0,3,UC-545511,,16/04/2019,250,200,0,Inmediata,0,,0,0,0,3,545511,180,1,2,-16.524853,La Paz,-68.079231,Bs,Alto Irpavi,0,4500,La Paz,1,Casa,Alquiler,4500.00 Bs,2010
Sopocachi,0,,,ENABLED,4,0,6,UC-546814,,13/04/2019,270,400,0,Inmediata,0,,0,0,0,2,546814,47,1,2,-16.513063,La Paz,-68.12767,$us,Sopocachi,0,1700,La Paz,2,Casa,Alquiler,12000.00 $us,
RESIDENCIA ALQUILER LA FLORIDA ,0,,,ENABLED,7,0,4,UC-529303,,23/02/2019,600,550,0,Inmediata,0,,0,0,0,5,529303,39,1,2,-16.548271,La Paz,-68.085381,$us,La Florida,0,3000,La Paz,2,Casa,Alquiler,21000.00 $us,2014
San miguel,0,,,ENABLED,6,0,4,UC-510541,,11/01/2019,300,300,0,Inmediata,0,,0,0,0,3,510541,237,1,2,-16.544622,La Paz,-68.079575,$us,San Miguel,0,1500,La Paz,2,Casa,Alquiler,10500.00 $us,
FCA25246 – ALQUILA ESTA CASA EN VALLE DE ARANJUEZ,1,,,ENABLED,5,0,4,UC-507231,,24/04/2019,530,700,0,Inmediata,0,,0,0,0,2,507231,151,1,2,-16.559914,La Paz,-68.098984,$us,Aranjuez,0,3000,La Paz,2,Casa,Alquiler,,
"CÓDIGO 6272 CASA EN ALQUILER, ACHUMANI, LA PAZ, BOLIVIA",0,,,ENABLED,7,0,4,UC-459748,,12/04/2019,500,600,0,Inmediata,0,,0,0,0,5,459748,29,1,2,-16.516911,La Paz,-68.057724,$us,Achumani,0,2500,La Paz,2,Casa,Alquiler,,
"ACHUMANI, Jardines del Sur, La Paz",0,,,ENABLED,6,0,5,UC-526096,,29/04/2019,0,600,0,Inmediata,0,,0,0,0,2,526096,29,1,2,-16.510855,La Paz,-68.054695,$us,Achumani,0,2500,La Paz,2,Casa,Alquiler,,
CALLE 22A #10 - ACHUMANI,0,,,ENABLED,3,0,4,UC-515869,,14/02/2019,300,350,0,Inmediata,0,,0,0,0,3,515869,29,1,2,-16.53089,La Paz,-68.06881,$us,Achumani,0,1500,La Paz,2,Casa,Alquiler,21000.00 $us,1990
MALLASILLA,0,,,ENABLED,4,0,3,UC-102451,,13/04/2017,330,375,0,Inmediata,0,,0,0,0,2,102451,192,1,2,-16.563253,La Paz,-68.098183,$us,Mallasilla,0,1600,La Paz,2,Casa,Alquiler,1600.00 $us,
FCA27403 – ALQUILA TU CASA EN IRPAVI,0,,,ENABLED,6,0,4,UC-515717,,24/04/2019,380,540,0,Inmediata,0,,0,0,0,2,515717,37,1,2,-16.507181,La Paz,-68.083786,$us,Irpavi,0,1200,La Paz,2,Casa,Alquiler,,
ZONA MIRAFLORES,0,,,ENABLED,5,0,7,UC-458267,,09/01/2019,761,360,0,Inmediata,0,,0,0,0,3,458267,41,1,2,-16.494694,La Paz,-68.120407,Bs,Miraflores,0,14500,La Paz,2,Casa,Alquiler,14500.00 Bs,2001
Calacoto,0,,,ENABLED,6,0,4,UC-527675,,19/02/2019,300,400,0,Inmediata,0,,0,0,0,3,527675,32,1,3,-16.547577,La Paz,-68.088875,$us,Calacoto,0,85000,La Paz,1,Casa,Anticretico,,
Hermosa casa en alquiler amoblada,0,,,ENABLED,4,0,3,UC-512754,,23/01/2019,220,250,0,Inmediata,0,,0,0,0,2,512754,39,1,2,-16.547602,La Paz,-68.088211,$us,La Florida,0,1300,La Paz,1,Casa,Alquiler,,
