address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension_built,dimension_ground,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_neighborhood,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
Achumani,0,40002059,5831204,ENABLED,5,0,3,UC-289919, no social con 20% de aporte propio. ,14/08/2018,280,200,0,Inmediata,1549,2104.13,10627,1417,9719,2,289919,29,2,1,-16.526789,La Paz,-68.06797,$us,Achumani,0,280000,La Paz,1,Departamento,Venta,,2018
"FDV10725 – GARZONIERS “B” EN PREVENTA, CALACOTO",0,48463835,7064699,ENABLED,1,0,1,UC-465939, social. ,24/04/2019,58,0,0,Inmediata,522,610.07,3578,472,3241,0,465939,32,2,1,-16.54298,La Paz,-68.085014,$us,Calacoto,0,87455,La Paz,2,Departamento,Venta,,
"FDV10716 – GARZONIERS “A” EN PREVENTA, CALACOTO",0,48463835,7064699,ENABLED,1,1,1,UC-297633, social. ,24/04/2019,68,0,0,Inmediata,569,665.59,3904,515,3536,0,297633,32,2,1,-16.54298,La Paz,-68.085014,$us,Calacoto,0,95413,La Paz,2,Departamento,Venta,,
"FDV10732 – GARZONIERS “C” EN PREVENTA, CALACOTO",0,48463835,7064699,ENABLED,1,0,1,UC-465938, social. ,24/04/2019,58,0,0,Inmediata,481,559.86,3300,436,2989,0,465938,32,2,1,-16.54298,La Paz,-68.085014,$us,Calacoto,0,80650,La Paz,2,Departamento,Venta,,
"FDV10653 – DEPARTAMENTO EN VENTA, CALACOTO",0,40002059,5831204,ENABLED,2,1,2,UC-297244, no social con 20% de aporte propio. ,24/04/2019,73,0,0,Inmediata,854,1025.47,5856,781,5355,1,297244,32,2,1,-16.54298,La Paz,-68.085014,$us,Calacoto,0,135000,La Paz,2,Departamento,Venta,,
CALLE 3 DE IRPAVI ,0,40002059,5831204,SOLD,3,1,3,UC-319431, no social con 20% de aporte propio. ,21/06/2018,184,0,1,Inmediata,999,1198.34,6853,914,6267,1,319431,37,2,1,-16.527315,La Paz,-68.086975,$us,Irpavi,0,158000,La Paz,1,Departamento,Venta,,2017
COD.11933 / HUANTAQUI- ACHUMANI,0,40002059,5831204,ENABLED,4,0,3,UC-441304, no social con 20% de aporte propio. ,04/12/2018,211,0,0,Inmediata,948,1034.51,6506,867,5950,0,441304,29,2,1,-16.520077,La Paz,-68.061287,$us,Achumani,0,150000,La Paz,2,Departamento,Venta,,
"FDV11651 – DEPARTAMENTO EN VENTA, COTA COTA",0,40002059,5831204,ENABLED,3,1,3,UC-324981, no social con 20% de aporte propio. ,24/04/2019,183,0,0,Inmediata,1005,1197.61,6897,919,6307,2,324981,35,2,1,-16.540758,La Paz,-68.063416,$us,Cota Cota,0,159000,La Paz,2,Departamento,Venta,,
"FDV11730 – DEPARTAMENTO EN VENTA, IRPAVI",0,40002059,5831204,ENABLED,2,1,4,UC-330147, no social con 20% de aporte propio. ,24/04/2019,163,0,0,Inmediata,1005,1109.16,6897,919,6307,1,330147,37,2,1,-16.529066,La Paz,-68.085014,$us,Irpavi,0,159000,La Paz,2,Departamento,Venta,,
Auquisamaña,0,40002059,5831204,ENABLED,4,1,3,UC-326919, no social con 20% de aporte propio. ,26/11/2018,332,0,1,Inmediata,3516,4786.68,24120,3215,22058,2,326919,55,2,1,-16.549206,La Paz,-68.06871,$us,Auquisamaña,0,635500,La Paz,1,Departamento,Venta,,2016
"COD. 11855 COTA COTA, DEPARTAMENTO EN VENTA, LA PAZ, BOLIVIA",0,40002059,5831204,ENABLED,4,0,3,UC-318915, no social con 20% de aporte propio. ,11/04/2019,172,0,1,Inmediata,948,1137.66,6506,867,5950,1,318915,35,2,1,-16.538834,La Paz,-68.063377,$us,Cota Cota,0,150000,La Paz,1,Departamento,Venta,,
Cota Cota,0,40002059,5831204,ENABLED,3,1,4,UC-318397, no social con 20% de aporte propio. ,26/10/2018,248,0,1,Inmediata,1442,1584.04,9890,1318,9044,1,318397,35,2,1,-16.541649,La Paz,-68.066368,$us,Cota Cota,0,228000,La Paz,2,Departamento,Venta,,1999
CALACOTO ,0,40002059,5831204,SOLD,2,0,2,UC-341962, no social con 20% de aporte propio. ,21/06/2018,100,0,0,Inmediata,809,881.34,5552,740,5077,0,341962,32,2,1,-16.54063,La Paz,-68.089394,$us,Calacoto,0,128000,La Paz,1,Departamento,Venta,,2017
