address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
SEGUENCOMA - LAS RETAMAS CASA EN VENTA,0,40002059,5831204,ENABLED,3,0,4,UC-547465, no social con 20% de aporte propio. ,15/04/2019,287,0,Inmediata,1568,,10757,1434,9838,2,547465,1,1,-16.538715,La Paz,-68.096756,$us,Seguencoma,0,248000,La Paz,2,Casa,Venta,,
Calle Vicente Ochoa esquina con calle Crispin Andrade #693,0,40002059,5831204,ENABLED,3,0,6,UC-548415, no social con 20% de aporte propio. ,17/04/2019,333,0,06/2019,3430,,23531,3137,21520,0,548415,1,1,-16.499676,La Paz,-68.143204,$us,San Pedro,0,620000,La Paz,2,Casa,Venta,,2005
Pamirpampa,0,40002059,5831204,ENABLED,3,0,4,UC-548424, no social con 20% de aporte propio. ,17/04/2019,300,0,Inmediata,2047,,14043,1872,12842,2,548424,1,1,-16.526045,La Paz,-68.06324,$us,Achumani,0,370000,La Paz,2,Casa,Venta,,2010
"SAN JORGE, AV. ARCE",0,40002059,5831204,ENABLED,6,0,10,UC-547644, no social con 20% de aporte propio. ,18/04/2019,337,0,Inmediata,2324,,15941,2125,14578,1,547644,1,1,-16.51156,La Paz,-68.11882,$us,San Jorge,0,420000,La Paz,2,Casa,Venta,,1967
CASA EN VENTA IRAVI II ,0,40002059,5831204,ENABLED,8,0,5,UC-229921, no social con 20% de aporte propio. ,14/08/2018,510,0,Inmediata,3154,4161.63,21634,2884,19784,3,229921,1,1,-16.50223,La Paz,-68.082146,$us,Irpavi,0,570000,La Paz,2,Casa,Venta,,2011
FCV32060 – COMPRA TU CASA EN AUQUISAMAÑA,0,40002059,5831204,ENABLED,3,0,4,UC-549998, no social con 20% de aporte propio. ,24/04/2019,311,0,Inmediata,1581,,10844,1446,9917,2,549998,1,1,-16.54936,La Paz,-68.076736,$us,Auquisamaña,0,250000,La Paz,2,Casa,Venta,,
"FCV7237 – CASA EN VENTA, CHASQUIPAMPA",0,40002059,5831204,ENABLED,4,0,4,UC-466036, no social con 20% de aporte propio. ,24/04/2019,297,0,Inmediata,1494,1875.84,10248,1366,9371,2,466036,1,1,-16.537321,La Paz,-68.046753,$us,Chasquipampa,0,270000,La Paz,2,Casa,Venta,,
Achumani calle 9,0,40002059,5831204,ENABLED,8,0,6,UC-549585, no social con 20% de aporte propio. ,23/04/2019,780,0,Inmediata,3098,,21254,2833,19437,3,549585,1,1,-16.531509,La Paz,-68.063103,$us,Achumani,0,560000,La Paz,2,Casa,Venta,,1999
Calle Inti No. 90 (ex 35 A) Cota Cota,0,40002059,5831204,ENABLED,3,0,3,UC-549117, no social con 20% de aporte propio. ,20/04/2019,400,0,05/2019,2102,,14422,1923,13189,2,549117,1,1,-16.54213,La Paz,-68.056198,$us,Cota Cota,0,380000,La Paz,2,Casa,Venta,,
"FCV9865 – CASA EN VENTA, LA FLORIDA",0,40002059,5831204,ENABLED,4,0,3,UC-465974, no social con 20% de aporte propio. ,24/04/2019,464,0,Inmediata,2490,3126.40,17079,2277,15619,0,465974,1,1,-16.545839,La Paz,-68.084091,$us,La Florida,0,450000,La Paz,2,Casa,Venta,,
CASA EN VENTA: SERRANIAS DE CALACOTO,0,40002059,5831204,ENABLED,5,0,4,UC-235753, no social con 20% de aporte propio. ,26/01/2019,990,0,Inmediata,4149,5236.14,28465,3795,26032,1,235753,1,1,-16.547079,La Paz,-68.069542,$us,Auquisamaña,0,750000,La Paz,1,Casa,Venta,,2003
"Urbanización Jardín Real #16 - ALTO CALACOTO
",0,40002059,5831204,ENABLED,7,0,4,UC-549422, no social con 20% de aporte propio. ,21/04/2019,567,0,Inmediata,3961,,27175,3623,24852,3,549422,1,1,-16.548651,La Paz,-68.06781,$us,Auquisamaña,0,716000,La Paz,2,Casa,Venta,,2011
EN VENTA CASA: ACHUMANI,0,40002059,5831204,ENABLED,4,0,3,UC-296530, no social con 20% de aporte propio. ,29/07/2018,370,0,Inmediata,2573,3532.17,17649,2353,16140,4,296530,1,1,-16.515427,La Paz,-68.060814,$us,Achumani,0,465000,La Paz,1,Casa,Venta,,2010
OBRAJES CASA EN VENTA  $us.380.000 ,0,40002059,5831204,ENABLED,3,0,9,UC-549621, no social con 20% de aporte propio. ,22/04/2019,380,0,Inmediata,2102,,14422,1923,13189,1,549621,1,1,-16.519915,La Paz,-68.116325,$us,Miraflores,0,380000,La Paz,2,Casa,Venta,,1980
