amoblado,bathroom,baulera,bedroom,dimension_built,dimension_ground,garage,id_neighborhood,latitud,longitud,neighborhood,price,status,type_offer,year_built,riesgo
0,5.0,0,6.0,300,170,2,43,-16.492722,-68.09992199999999,Pampahasi,163000.0,1,Venta,2019.0,bajo
0,5.0,0,5.0,371,382,2,35,-16.541605,-68.057381,Cota Cota,320000.0,2,Venta,,moderado
0,8.0,0,14.0,600,102,1,48,-16.512918,-68.140167,Tembladerani,460000.0,2,Venta,2005.0,moderado
0,5.0,0,16.0,699,241,1,178,-16.511629,-68.12162,San Jorge,950000.0,2,Venta,1970.0,muy bajo
0,5.0,0,6.0,394,500,2,29,-16.52673,-68.063828,Achumani,460000.0,2,Venta,1997.0,alto
0,6.0,0,5.0,380,300,4,192,-16.568037,-68.101189,Mallasilla,328000.0,2,Venta,2015.0,alto
0,5.0,0,4.0,374,400,2,37,-16.517032999999998,-68.087242,Irpavi,315000.0,2,Venta,,moderado
0,6.0,0,3.0,378,312,2,192,-16.562859,-68.103386,Mallasilla,290000.0,2,Venta,,alto
0,3.0,0,5.0,700,318,0,29,-16.522909,-68.05855600000001,Achumani,480000.0,2,Venta,,alto
0,5.0,0,5.0,550,850,3,55,-16.547911,-68.067444,Auquisamaña,750000.0,2,Venta,1994.0,bajo
0,4.0,0,3.0,300,420,3,29,-16.514046,-68.059212,Achumani,237000.0,2,Venta,,alto
0,6.0,0,4.0,378,230,2,151,-16.557436,-68.104431,Aranjuez,299000.0,2,Venta,,moderado
0,7.0,0,4.0,400,637,4,46,-16.536821,-68.097122,Seguencoma,480000.0,1,Venta,2003.0,bajo
0,5.0,0,4.0,490,329,3,29,-16.521314999999998,-68.061523,Achumani,350000.0,2,Venta,2007.0,alto
0,2.0,0,4.0,280,300,2,29,-16.521849,-68.060905,Achumani,165000.0,2,Venta,,alto
0,5.0,0,4.0,0,458,2,42,-16.528246,-68.102898,Obrajes,700000.0,2,Venta,,bajo
0,13.0,0,10.0,924,1450,2,192,-16.564792999999998,-68.112801,Mallasilla,980000.0,2,Venta,1998.0,alto
0,7.0,0,4.0,560,600,4,151,-16.557596,-68.102875,Aranjuez,385000.0,1,Venta,2019.0,moderado
0,5.0,0,5.0,300,370,2,33,-16.536985,-68.04244200000001,Chasquipampa,270000.0,2,Venta,2005.0,bajo
0,3.0,0,4.0,305,150,2,180,-16.517692999999998,-68.078026,Alto Irpavi,230000.0,2,Venta,2016.0,bajo
0,5.0,0,5.0,550,1100,4,32,-16.541122,-68.087875,Calacoto,1600000.0,2,Venta,2007.0,bajo
0,8.0,0,6.0,690,494,2,35,-16.544395,-68.065979,Cota Cota,610000.0,2,Venta,,moderado
0,6.0,0,5.0,477,360,3,32,-16.542171,-68.076035,Calacoto,445000.0,2,Venta,,bajo
0,7.0,0,9.0,423,350,3,29,-16.510656,-68.061501,Achumani,198000.0,1,Venta,,alto
0,7.0,0,5.0,425,400,3,29,-16.523042999999998,-68.06691,Achumani,485000.0,2,Venta,2010.0,alto
0,4.0,0,3.0,190,380,2,29,-16.530199,-68.051765,Achumani,165000.0,2,Venta,2009.0,alto
0,3.0,0,9.0,416,500,0,51,-16.497734,-68.090775,Villa San Antonio,330000.0,2,Venta,,alto
0,4.0,0,3.0,271,312,2,35,-16.539755,-68.05764,Cota Cota,270000.0,2,Venta,,moderado
0,4.0,0,4.0,700,400,2,29,-16.53055,-68.07643900000001,Achumani,430000.0,2,Venta,,alto
0,4.0,0,5.0,280,650,4,29,-16.521725,-68.060249,Achumani,340000.0,2,Venta,2009.0,alto
0,4.0,0,11.0,310,0,1,178,-16.512894,-68.120224,San Jorge,420000.0,2,Venta,1959.0,muy bajo
0,4.0,0,3.0,280,320,2,29,-16.519669,-68.06532299999999,Achumani,240000.0,2,Venta,2010.0,alto
0,3.0,0,4.0,209,161,1,192,-16.563347,-68.105347,Mallasilla,199000.0,1,Venta,2019.0,alto
0,3.0,0,5.0,571,380,2,42,-16.522629000000002,-68.114052,Obrajes,380000.0,2,Venta,1984.0,bajo
0,5.0,0,5.0,430,300,3,29,-16.525328,-68.061653,Achumani,260000.0,1,Venta,2019.0,alto
0,4.0,0,4.0,304,688,3,35,-16.541842000000003,-68.061913,Cota Cota,560000.0,2,Venta,2008.0,moderado
0,6.0,0,4.0,592,313,2,39,-16.54859,-68.086952,La Florida,650000.0,2,Venta,2014.0,moderado
0,6.0,0,4.0,580,650,2,29,-16.525839,-68.06405600000001,Achumani,490000.0,2,Venta,2000.0,alto
0,4.0,0,3.0,260,150,2,29,-16.508095,-68.053833,Achumani,210000.0,1,Venta,2019.0,alto
0,4.0,0,4.0,316,385,3,29,-16.535045999999998,-68.069473,Achumani,270000.0,2,Venta,2002.0,alto
0,5.0,0,3.0,308,351,4,55,-16.548328,-68.07034300000001,Auquisamaña,240000.0,2,Venta,,bajo
0,4.0,0,3.0,292,200,3,35,-16.540398,-68.06279,Cota Cota,235000.0,2,Venta,1997.0,moderado
0,1.0,0,2.0,60,300,0,53,-16.576069,-68.08300799999999,Mallasa,47000.0,1,Venta,2016.0,alto
0,5.0,0,3.0,450,360,2,39,-16.548426,-68.086845,La Florida,545000.0,1,Venta,2019.0,moderado
0,6.0,0,4.0,550,600,4,29,-16.518805,-68.059784,Achumani,830000.0,2,Venta,2012.0,alto
0,7.0,0,5.0,485,300,2,55,-16.550635999999997,-68.069687,Auquisamaña,277000.0,1,Venta,,bajo
0,6.0,0,5.0,600,400,5,32,-16.537172,-68.072449,Calacoto,660000.0,2,Venta,,bajo
0,3.0,0,4.0,308,219,2,192,-16.563323999999998,-68.105347,Mallasilla,252000.0,1,Venta,2019.0,alto
0,3.0,0,4.0,205,219,2,192,-16.563457,-68.105331,Mallasilla,211000.0,1,Venta,2019.0,alto
0,5.0,0,4.0,252,200,2,192,-16.563285999999998,-68.105133,Mallasilla,222000.0,1,Venta,2019.0,alto
0,3.0,0,4.0,304,214,1,192,-16.563168,-68.104889,Mallasilla,201000.0,1,Venta,2019.0,alto
0,4.0,0,4.0,216,198,2,192,-16.562946,-68.104889,Mallasilla,219000.0,1,Venta,2019.0,alto
0,4.0,0,4.0,225,207,2,192,-16.562936999999998,-68.104958,Mallasilla,228000.0,1,Venta,2019.0,alto
0,4.0,0,4.0,216,198,2,192,-16.562834,-68.10494200000001,Mallasilla,219000.0,1,Venta,2019.0,alto
0,5.0,0,3.0,334,406,2,39,-16.549454,-68.090477,La Florida,450000.0,2,Venta,,moderado
0,7.0,0,5.0,643,800,8,237,-16.54608,-68.07753000000001,San Miguel,850000.0,2,Venta,,bajo
0,4.0,0,3.0,320,385,2,29,-16.519215,-68.062187,Achumani,270000.0,2,Venta,2012.0,alto
0,6.0,0,4.0,390,300,2,29,-16.514648,-68.060257,Achumani,350000.0,2,Venta,2006.0,alto
0,1.0,0,3.0,200,225,2,237,-16.544134,-68.07867399999999,San Miguel,325000.0,2,Venta,,bajo
0,8.0,0,10.0,500,300,0,178,-16.505697,-68.12710600000001,San Jorge,760000.0,2,Venta,,muy bajo
0,3.0,0,3.0,300,279,3,29,-16.512541,-68.06163000000001,Achumani,240000.0,2,Venta,,alto
0,5.0,0,5.0,391,216,2,35,-16.54143,-68.057358,Cota Cota,220000.0,2,Venta,,moderado
0,5.0,0,10.0,1000,678,4,46,-16.538715,-68.096313,Seguencoma,480000.0,1,Venta,1973.0,bajo
0,6.0,0,4.0,313,345,2,29,-16.530222,-68.05684699999999,Achumani,195000.0,1,Venta,2019.0,alto
0,6.0,0,4.0,590,450,2,29,-16.512695,-68.06139399999999,Achumani,400000.0,1,Venta,2017.0,alto
0,4.0,0,5.0,250,300,3,29,-16.514275,-68.051361,Achumani,169000.0,1,Venta,2019.0,alto
0,3.0,0,3.0,180,380,5,53,-16.56741,-68.08976700000001,Mallasa,295000.0,2,Venta,,alto
0,3.0,0,4.0,350,280,3,29,-16.531578,-68.06333199999999,Achumani,110000.0,1,Venta,2019.0,alto
0,5.0,0,4.0,374,400,2,37,-16.520982999999998,-68.084923,Irpavi,315000.0,2,Venta,2009.0,moderado
0,8.0,0,6.0,690,494,2,35,-16.544395,-68.065979,Cota Cota,610000.0,2,Venta,,moderado
0,2.0,0,4.0,238,242,3,42,-16.525211,-68.107231,Obrajes,210000.0,2,Venta,1984.0,bajo
0,4.0,0,4.0,435,685,2,277,-16.53327,-68.09073599999999,San Alberto,570000.0,2,Venta,2007.0,alto
0,2.0,0,3.0,171,400,2,29,-16.518978,-68.064316,Achumani,285000.0,2,Venta,1998.0,alto
0,4.0,0,4.0,292,320,3,55,-16.547642,-68.078094,Auquisamaña,260000.0,2,Venta,,bajo
0,5.0,0,8.0,1000,475,0,44,-16.48605,-68.137466,Centro,700000.0,2,Venta,1968.0,bajo
0,4.0,0,5.0,415,220,3,29,-16.522291,-68.057396,Achumani,380000.0,2,Venta,2004.0,alto
0,6.0,0,6.0,354,386,3,38,-16.533255,-68.080299,Koani,350000.0,2,Venta,,bajo
0,5.0,0,4.0,460,600,6,29,-16.523577,-68.05259699999999,Achumani,320000.0,2,Venta,2012.0,alto
0,7.0,0,4.0,400,800,2,35,-16.540594,-68.066994,Cota Cota,580000.0,2,Venta,1998.0,moderado
0,5.0,0,3.0,324,200,4,151,-16.558641,-68.093307,Aranjuez,289000.0,1,Venta,2018.0,moderado
0,5.0,0,5.0,380,300,4,192,-16.562739999999998,-68.099571,Mallasilla,320000.0,2,Venta,2015.0,alto
0,6.0,0,4.0,519,596,2,29,-16.509783,-68.054062,Achumani,790000.0,2,Venta,,alto
0,5.0,0,3.0,310,315,2,192,-16.567923,-68.10141,Mallasilla,280000.0,2,Venta,,alto
0,6.0,0,9.0,880,295,2,30,-16.520243,-68.109451,Alto Obrajes,380000.0,2,Venta,1995.0,moderado
0,7.0,0,4.0,600,1200,5,32,-16.542417999999998,-68.087929,Calacoto,1500000.0,2,Venta,,bajo
0,6.0,0,4.0,519,596,2,29,-16.509783,-68.054062,Achumani,790000.0,2,Venta,,alto
0,5.0,0,4.0,370,170,1,192,-16.566319,-68.106049,Mallasilla,290000.0,2,Venta,2007.0,alto
0,4.0,0,3.0,220,300,3,33,-16.538385,-68.042877,Chasquipampa,158000.0,2,Venta,2005.0,bajo
0,4.0,0,4.0,400,1000,5,37,-16.50466,-68.082024,Irpavi,350000.0,2,Venta,2005.0,moderado
0,4.0,0,4.0,400,500,4,55,-16.546265,-68.066666,Auquisamaña,360000.0,2,Venta,2000.0,bajo
0,4.0,0,4.0,420,600,2,29,-16.526289000000002,-68.063675,Achumani,449000.0,2,Venta,1990.0,alto
0,4.0,0,3.0,275,308,2,29,-16.518723,-68.060303,Achumani,250000.0,1,Venta,2018.0,alto
0,3.0,0,4.0,560,1000,3,42,-16.528067,-68.104027,Obrajes,1300000.0,2,Venta,1980.0,bajo
0,5.0,0,4.0,400,730,3,39,-16.548178,-68.087639,La Florida,640000.0,2,Venta,2005.0,moderado
0,5.0,0,3.0,290,490,3,29,-16.515877,-68.057846,Achumani,285000.0,2,Venta,,alto
0,5.0,0,3.0,300,550,2,39,-16.54711,-68.084724,La Florida,440000.0,2,Venta,2010.0,moderado
0,2.0,0,10.0,380,280,4,47,-16.510399,-68.12915799999999,Sopocachi,300000.0,2,Venta,1950.0,moderado
0,4.0,0,4.0,500,600,5,29,-16.513569,-68.052162,Achumani,450000.0,2,Venta,2013.0,alto
0,4.0,0,4.0,280,293,4,47,-16.508574,-68.124153,Sopocachi,410000.0,2,Venta,2000.0,moderado
0,5.0,0,3.0,300,550,2,39,-16.548529000000002,-68.08626600000001,La Florida,440000.0,2,Venta,2012.0,moderado
0,5.0,0,4.0,500,646,2,29,-16.512735,-68.057358,Achumani,550000.0,2,Venta,1997.0,alto
0,4.0,0,3.0,310,365,3,29,-16.535515,-68.075829,Achumani,420000.0,2,Venta,1985.0,alto
0,5.0,0,4.0,420,425,1,29,-16.516829,-68.064293,Achumani,550000.0,2,Venta,,alto
0,3.0,0,3.0,217,337,2,29,-16.535631,-68.069572,Achumani,265000.0,2,Venta,1999.0,alto
0,5.0,0,5.0,720,1112,5,42,-16.523424,-68.108078,Obrajes,886000.0,2,Venta,1980.0,bajo
0,4.0,0,6.0,300,100,0,45,-16.50618,-68.139709,San Pedro,230000.0,2,Venta,1995.0,moderado
0,9.0,0,9.0,397,300,5,37,-16.505142000000003,-68.08255799999999,Irpavi,300000.0,2,Venta,2014.0,moderado
0,6.0,0,6.0,354,386,3,38,-16.533255,-68.080299,Koani,350000.0,2,Venta,,bajo
0,5.0,0,4.0,385,300,2,37,-16.525783999999998,-68.087418,Irpavi,335000.0,2,Venta,2000.0,moderado
0,8.0,0,7.0,550,385,2,47,-16.509914000000002,-68.129486,Sopocachi,639999.0,2,Venta,1990.0,moderado
0,7.0,0,4.0,650,1050,5,151,-16.556341,-68.09605400000001,Aranjuez,890000.0,2,Venta,,moderado
0,7.0,0,6.0,408,220,1,38,-16.521027,-68.0821,Koani,350000.0,1,Venta,2018.0,bajo
0,5.0,0,5.0,420,420,3,42,-16.524481,-68.112289,Obrajes,350000.0,2,Venta,2010.0,bajo
0,4.0,0,3.0,300,350,2,35,-16.547216,-68.06343100000001,Cota Cota,257000.0,1,Venta,,moderado
0,3.0,0,3.0,187,390,2,33,-16.544007999999998,-68.054024,Chasquipampa,240000.0,2,Venta,,bajo
0,4.0,0,3.0,139,301,1,29,-16.531359,-68.056221,Achumani,146000.0,2,Venta,,alto
0,3.0,0,4.0,300,500,3,151,-16.560845999999998,-68.091507,Aranjuez,350000.0,2,Venta,,moderado
0,3.0,0,3.0,305,150,2,37,-16.502466000000002,-68.081032,Irpavi,160000.0,1,Venta,2014.0,moderado
0,7.0,0,6.0,750,452,4,277,-16.528576,-68.092621,San Alberto,650000.0,1,Venta,2002.0,alto
0,4.0,0,3.0,139,301,1,29,-16.531359,-68.056221,Achumani,146000.0,2,Venta,,alto
0,5.0,0,3.0,250,176,2,29,-16.526332999999997,-68.06279,Achumani,280000.0,1,Venta,2018.0,alto
0,6.0,0,4.0,385,418,3,29,-16.516356,-68.061913,Achumani,296000.0,2,Venta,2007.0,alto
0,6.0,0,10.0,434,441,5,46,-16.535917,-68.104675,Seguencoma,200000.0,2,Venta,,bajo
0,7.0,0,6.0,750,452,4,277,-16.532215,-68.091064,San Alberto,650000.0,1,Venta,2002.0,alto
0,3.0,0,4.0,243,250,3,29,-16.533511999999998,-68.077148,Achumani,295000.0,2,Venta,,alto
0,4.0,0,3.0,250,150,2,29,-16.525881,-68.063263,Achumani,286000.0,1,Venta,2018.0,alto
0,4.0,0,4.0,350,289,4,37,-16.517717,-68.083733,Irpavi,347000.0,2,Venta,,moderado
0,5.0,0,4.0,339,495,2,33,-16.5411,-68.054459,Chasquipampa,305000.0,2,Venta,,bajo
0,3.0,0,4.0,220,240,1,32,-16.543034,-68.086189,Calacoto,415000.0,1,Venta,1975.0,bajo
0,5.0,0,4.0,385,470,2,29,-16.521849,-68.060928,Achumani,369000.0,2,Venta,1990.0,alto
0,8.0,0,13.0,600,100,1,48,-16.513018,-68.14076999999999,Tembladerani,490000.0,2,Venta,1995.0,moderado
0,6.0,0,5.0,380,372,3,33,-16.537891000000002,-68.043816,Chasquipampa,299000.0,1,Venta,2019.0,bajo
0,5.0,0,6.0,270,230,3,192,-16.569035,-68.118149,Mallasilla,239000.0,1,Venta,2019.0,alto
0,4.0,0,4.0,270,280,2,35,-16.548105,-68.064255,Cota Cota,320000.0,2,Venta,2017.0,moderado
0,4.0,0,5.0,324,188,2,42,-16.529593,-68.099983,Obrajes,295000.0,2,Venta,2014.0,bajo
0,4.0,0,4.0,304,494,2,35,-16.544447,-68.065163,Cota Cota,370000.0,2,Venta,,moderado
0,5.0,0,3.0,320,180,4,151,-16.559488,-68.09288000000001,Aranjuez,289000.0,1,Venta,2019.0,moderado
0,3.0,0,5.0,195,200,0,45,-16.505342000000002,-68.136749,San Pedro,230000.0,2,Venta,,moderado
0,4.0,0,3.0,444,512,4,35,-16.544447,-68.065163,Cota Cota,470000.0,2,Venta,,moderado
0,4.0,0,3.0,169,200,0,29,-16.520779,-68.059296,Achumani,195000.0,1,Venta,2019.0,alto
0,5.0,0,5.0,290,300,2,29,-16.516088,-68.06517,Achumani,315000.0,1,Venta,2012.0,alto
0,5.0,0,6.0,248,190,4,33,-16.539351999999997,-68.049644,Chasquipampa,200000.0,2,Venta,2015.0,bajo
0,8.0,0,5.0,597,300,2,37,-16.527393,-68.08873,Irpavi,390000.0,2,Venta,,moderado
0,8.0,0,5.0,597,300,2,37,-16.529888,-68.083839,Irpavi,390000.0,2,Venta,,moderado
