address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
FDV25752 – COMPRA TU PENTHOUSE EN KOANI,0,40002059,5831204,ENABLED,4,0,3,UC-509875, no social con 20% de aporte propio. ,24/04/2019,210,0,Inmediata,1043,1151.95,7157,954,6545,1,509875,2,1,-16.529917,La Paz,-68.07869,$us,Koani,0,165000,La Paz,2,Departamento,Venta,,
FDV24015 – COMPRA TU DEPARTAMENTO EN ACHUMANI,0,40002059,5831204,ENABLED,4,0,3,UC-501543, no social con 20% de aporte propio. ,24/04/2019,145,0,Inmediata,898,990.57,6159,821,5633,1,501543,2,1,-16.520727,La Paz,-68.057114,$us,Achumani,0,142000,La Paz,2,Departamento,Venta,,
FDV25736 – COMPRA ESTE DEPARTAMENTO EN IRPAVI,0,40002059,5831204,ENABLED,4,0,3,UC-509406, no social con 20% de aporte propio. ,24/04/2019,133,0,Inmediata,917,1012.32,6290,838,5752,1,509406,2,1,-16.527239,La Paz,-68.086327,$us,Irpavi,0,145000,La Paz,2,Departamento,Venta,,
Calacoto,0,44130787,6433059,ENABLED,2,0,1,UC-500130, social. ,30/03/2019,46,0,Inmediata,344,418.55,2359,309,2122,0,500130,2,1,-16.539825,La Paz,-68.078949,$us,Calacoto,0,60000,La Paz,2,Departamento,Venta,,
Av Landaeta esquina Caceres,0,40002059,5831204,ENABLED,2,0,3,UC-506932, no social con 20% de aporte propio. ,08/04/2019,125,0,Inmediata,790,872.69,5422,723,4958,0,506932,2,1,-16.510099,La Paz,-68.136818,$us,San Pedro,0,125000,La Paz,2,Departamento,Venta,,2008
C/35 DE ACHUMANI,0,40002059,5831204,ENABLED,3,1,3,UC-507695, no social con 20% de aporte propio. ,25/04/2019,132,1,Inmediata,929,1026.28,6376,850,5831,1,507695,2,1,-16.521992,La Paz,-68.059647,$us,Achumani,0,147000,La Paz,2,Departamento,Venta,,
Achumani,0,40002059,5831204,ENABLED,4,0,3,UC-500581, no social con 20% de aporte propio. ,10/12/2018,150,0,Inmediata,917,1011.50,6290,838,5752,2,500581,2,1,-16.528629,La Paz,-68.07132,$us,Achumani,0,145000,La Paz,2,Departamento,Venta,,
FDV24015 – COMPRA TU DEPARTAMENTO EN ACHUMANI,0,40002059,5831204,ENABLED,4,0,3,UC-501544, no social con 20% de aporte propio. ,24/04/2019,145,0,Inmediata,898,990.57,6159,821,5633,1,501544,2,1,-16.521816,La Paz,-68.061508,$us,Achumani,0,142000,La Paz,2,Departamento,Venta,,
CALACOTO,0,40002059,5831204,ENABLED,5,0,4,UC-500668, no social con 20% de aporte propio. ,08/01/2019,393,0,Inmediata,2183,2751.98,14973,1996,13693,1,500668,2,1,-16.540073,La Paz,-68.086159,$us,Calacoto,0,394500,La Paz,2,Departamento,Venta,,
"Bolignia, Calle 19 y 18 ",0,48463835,7064699,ENABLED,3,0,3,UC-501305, social. ,12/12/2018,137,0,06/2019,512,599.23,3515,464,3183,1,501305,2,1,-16.519566,La Paz,-68.089897,$us,Bolognia,0,85900,La Paz,1,Departamento,Venta,,2018
Sopocachi,0,44130787,6433059,SOLD,1,0,1,UC-516257, social. ,23/04/2019,60,0,Inmediata,413,502.67,2831,371,2546,0,516257,2,1,-16.51189,La Paz,-68.123047,$us,Sopocachi,0,72000,La Paz,2,Departamento,Venta,,2005
FDV27624 – COMPRA ESTE PENTHOUSE EN OBRAJES,0,40002059,5831204,ENABLED,5,1,4,UC-517428, no social con 20% de aporte propio. ,24/04/2019,272,0,Inmediata,1438,2129.36,9868,1316,9024,2,517428,2,1,-16.524199,La Paz,-68.1119,$us,Obrajes,0,260000,La Paz,2,Departamento,Venta,,
Av. Altamirano entre calles 3 y 4,0,40002059,5831204,ENABLED,4,0,3,UC-516443, no social con 20% de aporte propio. ,25/01/2019,133,0,Inmediata,917,1012.32,6290,838,5752,1,516443,2,1,-16.527164,La Paz,-68.086342,$us,Irpavi,0,145000,La Paz,2,Departamento,Venta,,
FDV27830 – COMPRA TU DEPARTAMENTO EN CALACOTO,0,40002059,5831204,ENABLED,3,0,3,UC-517410, no social con 20% de aporte propio. ,23/04/2019,120,0,Inmediata,1043,1338.36,7157,954,6545,1,517410,2,1,-16.540565,La Paz,-68.083519,$us,Calacoto,0,165000,La Paz,2,Departamento,Venta,,
FDV26837 – COMPRA TU DEPARTAMENTO EN MIRAFLORES,0,40002059,5831204,ENABLED,3,0,3,UC-514531, no social con 20% de aporte propio. ,24/04/2019,145,0,Inmediata,1537,1697.21,10545,1406,9643,1,514531,2,1,-16.500174,La Paz,-68.118912,$us,Miraflores,0,243100,La Paz,2,Departamento,Venta,,
FDV23627 – COMPRA TU DEPARTAMENTO EN AUQUISAMAÑA,0,40002059,5831204,ENABLED,4,1,3,UC-501511, no social con 20% de aporte propio. ,24/04/2019,332,0,Inmediata,3516,4433.16,24120,3215,22058,3,501511,2,1,-16.549543,La Paz,-68.074547,$us,Auquisamaña,0,635500,La Paz,2,Departamento,Venta,,
FDV23627 – COMPRA TU DEPARTAMENTO EN AUQUISAMAÑA,0,40002059,5831204,ENABLED,4,1,3,UC-501510, no social con 20% de aporte propio. ,24/04/2019,332,0,Inmediata,3516,4433.16,24120,3215,22058,3,501510,2,1,-16.549543,La Paz,-68.074547,$us,Auquisamaña,0,635500,La Paz,2,Departamento,Venta,,
Calacoto,0,40002059,5831204,ENABLED,3,0,3,UC-517273, no social con 20% de aporte propio. ,18/02/2019,130,0,Inmediata,1277,1522.25,8762,1168,8013,1,517273,2,1,-16.541431,La Paz,-68.082512,$us,Calacoto,0,202000,La Paz,1,Departamento,Venta,,2018
"Calle 35 de Achumani, Edificio Las flores piso 9. ",0,40002059,5831204,ENABLED,4,0,3,UC-516782, no social con 20% de aporte propio. ,25/02/2019,170,0,Inmediata,1043,115.20,7157,954,6545,2,516782,2,1,-16.514278,La Paz,-68.063393,$us,Achumani,0,165000,La Paz,2,Departamento,Venta,,2012
Departamento a la venta ,0,40002059,5831204,ENABLED,4,0,3,UC-511295, no social con 20% de aporte propio. ,14/01/2019,220,0,Inmediata,1454,1605.75,9976,1330,9124,1,511295,2,1,-16.54501,La Paz,-68.081223,$us,San Miguel,0,230000,La Paz,2,Departamento,Venta,,2012
Achumani calle 34,0,40002059,5831204,ENABLED,6,0,4,UC-517283, no social con 20% de aporte propio. ,27/01/2019,280,0,Inmediata,1521,1919.92,10437,1391,9545,2,517283,2,1,-16.517159,La Paz,-68.061119,$us,Achumani,0,275000,La Paz,2,Departamento,Venta,,2016
